Anderlecht[Belgium]---32,01km--->Aalst[Belgium]
Aalst[Belgium]---43,36km--->Ath[Belgium]
Ath[Belgium]---183,45km--->Amiens[France]
Amiens[France]---974,74km--->Abenra[Denmark]
Abenra[Denmark]---150,91km--->Arhus[Denmark]
Arhus[Denmark]---103,67km--->Alborg[Denmark]
Alborg[Denmark]---309,03km--->Askim[Norway]
Askim[Norway]---283,29km--->Alvdal[Norway]
Alvdal[Norway]---501,86km--->Alesund[Norway]
Alesund[Norway]---1244,11km--->Allinge[Denmark]
Allinge[Denmark]---673,65km--->Bartoszyce[Poland]
Bartoszyce[Poland]---248,08km--->Augustow[Poland]
Augustow[Poland]---129,52km--->Alytus[Lithuania]
Alytus[Lithuania]---248,00km--->Auce[Latvia]
Auce[Latvia]---144,64km--->Aizpute[Latvia]
Aizpute[Latvia]---327,66km--->Ainazi[Latvia]
Ainazi[Latvia]---59,79km--->Aloja[Latvia]
Aloja[Latvia]---183,54km--->Antsla[Estonia]
Antsla[Estonia]---32,77km--->Ape[Latvia]
Ape[Latvia]---43,64km--->Aluksne[Latvia]
Aluksne[Latvia]---36,30km--->Balvi[Latvia]
Balvi[Latvia]---209,18km--->Adutiskis[Lithuania]
Adutiskis[Lithuania]---211,07km--->Baranovichi[Belarus]
Baranovichi[Belarus]---657,71km--->Bardejov[Slovakia]
Bardejov[Slovakia]---243,70km--->Banska Bystrica[Slovakia]
Banska Bystrica[Slovakia]---1020,88km--->Arta[Greece]
Arta[Greece]---72,80km--->Agrinion[Greece]
Agrinion[Greece]---228,66km--->Areopolis[Greece]
Areopolis[Greece]---201,24km--->Athens[Greece]
Athens[Greece]---134,30km--->Andros[Greece]
Andros[Greece]---610,87km--->Bardiyah[Libya]
Bardiyah[Libya]---20,89km--->As Sallum[Egypt]
As Sallum[Egypt]---196,56km--->Al Jaghbub[Libya]
Al Jaghbub[Libya]---1179,49km--->Al Khums[Libya]
Al Khums[Libya]---100,22km--->Bani Walid[Libya]
Bani Walid[Libya]---365,73km--->Adh Dhahibat[Tunisia]
Adh Dhahibat[Tunisia]---256,02km--->As Sukhayrah[Tunisia]
As Sukhayrah[Tunisia]---66,92km--->Al Miknasi[Tunisia]
Al Miknasi[Tunisia]---108,13km--->Al Qasrayn[Tunisia]
Al Qasrayn[Tunisia]---103,50km--->Al Metlaoui[Tunisia]
Al Metlaoui[Tunisia]---277,63km--->Bajah[Tunisia]
Bajah[Tunisia]---148,75km--->An Nafidah[Tunisia]
An Nafidah[Tunisia]---62,98km--->Al Munastir[Tunisia]
Al Munastir[Tunisia]---40,58km--->Al Mahdiyah[Tunisia]
Al Mahdiyah[Tunisia]---44,63km--->Al Jamm[Tunisia]
Al Jamm[Tunisia]---372,06km--->Annaba[Algeria]
Annaba[Algeria]---1653,65km--->Badajoz[Spain]
Badajoz[Spain]---179,17km--->Alcacer do Sal[Portugal]
Alcacer do Sal[Portugal]---71,44km--->Barreiro[Portugal]
Barreiro[Portugal]---220,35km--->Aveiro[Portugal]
Aveiro[Portugal]---1128,03km--->Agadir[Morocco]
Agadir[Morocco]---482,52km--->Ain Ben Tili[Mauritania]
Ain Ben Tili[Mauritania]---714,24km--->Atar[Mauritania]
Atar[Mauritania]---387,47km--->Aleg[Mauritania]
Aleg[Mauritania]---284,42km--->Bakel[Senegal]
Bakel[Senegal]---216,33km--->Bafoulabe[Mali]
Bafoulabe[Mali]---339,02km--->Bamako[Mali]
Bamako[Mali]---422,20km--->Bassikounou[Mauritania]
Bassikounou[Mauritania]---417,49km--->Ayoun el Atrous[Mauritania]
Ayoun el Atrous[Mauritania]---629,81km--->Basse Santa Su[Gambia]
Basse Santa Su[Gambia]---132,74km--->Bafata[Guinea-Bissau]
